,manufacturer,model
N623NK,AIRBUS,A320-232
N623SW,BOEING,737-3H4
N623VA,AIRBUS,A320-214
N624JB,AIRBUS,A320-232
N624NK,AIRBUS,A320-232
N624SW,BOEING,737-3H4
N625JB,AIRBUS,A320-232
N625NK,AIRBUS,A320-232
N625SW,BOEING,737-3H4
N626NK,AIRBUS,A320-232
N626SW,BOEING,737-3H4
N626VA,AIRBUS,A320-214
N627DL,BOEING,757-232
N627JB,AIRBUS,A320-232
N627NK,AIRBUS,A320-232
N627SW,BOEING,737-3H4
N62849,BOEING,737-924ER
N62883,BOEING,737-924ER
N62884,BOEING,737-924ER
N62889,BOEING,737-924ER
N62892,BOEING,737-924ER
N62894,BOEING,737-924ER
N62895,BOEING,737-900ER
N62896,BOEING,737-900ER
N628NK,AIRBUS,A320-232
N628SW,BOEING,737-3H4
N628VA,AIRBUS,A320-214
N629JB,AIRBUS,A320-232
N629NK,AIRBUS,A320-232
N629VA,AIRBUS,A320-214
N630JB,AIRBUS,A320-232
N630NK,AIRBUS,A320-232
N630WN,BOEING,737-3H4
N631NK,AIRBUS,A320-232
N631SW,BOEING,737-3H4
N632JB,AIRBUS,A320-232
N632NK,AIRBUS,A320-232
N632SW,BOEING,737-3H4
N633JB,AIRBUS,A320-232
N633NK,AIRBUS,A320-232
N633SW,BOEING,737-3H4
N633VA,AIRBUS,A320-214
N634JB,AIRBUS,A320-232
N634NK,AIRBUS,A320-232
N634SW,BOEING,737-3H4
N634VA,AIRBUS,A320-214
N635JB,AIRBUS,A320-232
N635NK,AIRBUS,A320-232
N635SW,BOEING,737-3H4
N636JB,AIRBUS,A320-232
N636NK,AIRBUS,A320-232
N636VA,AIRBUS,A320-214
N636WN,BOEING,737-3H4
N637JB,AIRBUS,A320-232
N637NK,AIRBUS,A320-232
N637SW,BOEING,737-3H4
N63820,BOEING,737-924ER
N63890,BOEING,737-924ER
N63899,BOEING,737-900ER
N638JB,AIRBUS,A320-232
N638NK,AIRBUS,A320-232
N638SW,BOEING,737-3H4
N639JB,AIRBUS,A320-232
N639NK,AIRBUS,A320-232
N639SW,BOEING,737-3H4
N640JB,AIRBUS,A320-232
N640NK,AIRBUS,A320-232
N640SW,BOEING,737-3H4
N640VA,AIRBUS,A320-214
N641JB,AIRBUS,A320-232
N641NK,AIRBUS,A320-232
N641SW,BOEING,737-3H4
N642NK,AIRBUS,A320-232
N642VA,AIRBUS,A320-214
N642WN,BOEING,737-3H4
N643JB,AIRBUS,A320-232
N643NK,AIRBUS,A320-232
N643SW,BOEING,737-3H4
N644JB,AIRBUS,A320-232
N644NK,AIRBUS,A320-232
N644SW,BOEING,737-3H4
N645JB,AIRBUS,A320-232
N645NK,AIRBUS,A320-232
N645SW,BOEING,737-3H4
N646JB,AIRBUS,A320-232
N646NK,AIRBUS,A320-232
N646SW,BOEING,737-3H4
N647AA,GRAHAM JERRY,FALCON-XP
N647NK,AIRBUS,A320-232
N647SW,BOEING,737-3H4
N64809,BOEING,737-924ER
N64844,BOEING,737-924ER
N648JB,AIRBUS,A320-232
N648NK,AIRBUS,A320-232
N648SW,BOEING,737-3H4
N649AA,BOEING,757-223
N649AW,AIRBUS INDUSTRIE,A320-232
N649JB,AIRBUS,A320-232
N649NK,AIRBUS,A320-232
N650AW,AIRBUS INDUSTRIE,A320-232
N650SW,BOEING,737-3H4
N651JB,AIRBUS,A320-232
N651SW,BOEING,737-3H4
N652AA,BOEING,757-223
N652JB,AIRBUS,A320-232
N652SW,BOEING,737-3H4
N653JB,AIRBUS,A320-232
N653SW,BOEING,737-3H4
N654AW,AIRBUS INDUSTRIE,A320-232
N654SW,BOEING,737-3H4
N655AA,BOEING,757-223
N655JB,AIRBUS,A320-232
N655WN,BOEING,737-3H4
N656AA,BOEING,757-223
N656JB,AIRBUS,A320-232
N656SW,BOEING,737-3H4
N657AW,AIRBUS INDUSTRIE,A320-232
N657JB,AIRBUS,A320-232
N657NK,AIRBUS,A321-231
N65832,BOEING,737-924ER
N658AA,BOEING,757-223
N658AW,AIRBUS INDUSTRIE,A320-232
N658JB,AIRBUS,A320-232
N658NK,AIRBUS,A321-231
N659AA,BOEING,757-223
N659AW,AIRBUS INDUSTRIE,A320-232
N659JB,AIRBUS,A320-232
N659NK,AIRBUS,A321-231
N660AW,AIRBUS INDUSTRIE,A320-232
N660NK,AIRBUS,A321-231
N661AA,ROBERT D WHITE,AIRCAM
N661AW,AIRBUS INDUSTRIE,A320-232
N661DN,BOEING,757-232
N661JB,AIRBUS,A320-232
N661NK,AIRBUS,A321-231
N662AA,BOEING,757-223
N662JB,AIRBUS,A320-232
N662NK,AIRBUS,A321-231
N663AA,CESSNA,402C
N663JB,AIRBUS,A320-232
N663NK,AIRBUS,A321-231
N664NK,AIRBUS,A321-231
N665AA,BOEING,757-223
N665AW,AIRBUS INDUSTRIE,A320-232
N665JB,AIRBUS,A320-232
N665NK,AIRBUS,A321-231
N667AW,AIRBUS INDUSTRIE,A320-232
N667NK,AIRBUS,A321-231
N66803,BOEING,737-924ER
N66808,BOEING,737-924ER
N66814,BOEING,737-924ER
N66825,BOEING,737-924ER
N66828,BOEING,737-924ER
N66831,BOEING,737-924ER
N66837,BOEING,737-924ER
N66841,BOEING,737-924ER
N66848,BOEING,737-924ER
N66893,BOEING,737-924ER
N66897,BOEING,737-900ER
N668AA,BOEING,757-223
N668AW,AIRBUS,A320-232
N668DN,BOEING,757-232
N668NK,AIRBUS,A321-231
N669AA,BOEING,757-223
N669AW,AIRBUS,A320-232
N669DN,BOEING,757-232
N669NK,AIRBUS,A321-231
N6706Q,BOEING,757-232
N670NK,AIRBUS,A321-231
N6710E,BOEING,757-232
N6711M,BOEING,757-232
N67171,BOEING,757-232
N671NK,AIRBUS,A321-231
N672AA,BOEING,757-223
N672NK,AIRBUS,A321-231
N673NK,AIRBUS,A321-231
N674NK,AIRBUS,A321-231
N675DL,BOEING,757-232
N675NK,AIRBUS,A321-231
N676CA,BOMBARDIER INC,CL-600-2D24
N676DL,BOEING,757-232
N676NK,AIRBUS,A321-231
N677NK,AIRBUS,A321-231
N67812,BOEING,737-924ER
N67815,BOEING,737-924ER
N67827,BOEING,737-924ER
N67845,BOEING,737-924ER
N67846,BOEING,737-924ER
N678CA,BOMBARDIER INC,CL-600-2D24
N678DL,BOEING,757-232
N679AW,AIRBUS,A320-232
N680AW,AIRBUS,A320-232
N680DA,BOEING,757-232
N681DA,BOEING,757-232
N683DA,BOEING,757-232
N68452,BOEING,737-924ER
N68453,BOEING,737-924ER
N684DA,BOEING,757-232
N686BR,BOMBARDIER INC,CL-600-2B19
N687SW,BOEING,737-3Q8
N68801,BOEING,737-924ER
N68802,BOEING,737-924ER
N68805,BOEING,737-924ER
N68807,BOEING,737-924ER
N68811,BOEING,737-924ER
N68817,BOEING,737-924ER
N68821,BOEING,737-924ER
N68822,BOEING,737-924ER
N68823,BOEING,737-924ER
N68834,BOEING,737-924ER
N68836,BOEING,737-924ER
N68842,BOEING,737-924ER
N68843,BOEING,737-924ER
N68880,BOEING,737-924ER
N68891,BOEING,737-924ER
N691CA,BOMBARDIER INC,CL-600-2D24
N693DL,BOEING,757-232
N695CA,BOMBARDIER INC,CL-600-2D24
N696DL,BOEING,757-232
N69804,BOEING,737-924ER
N69806,BOEING,737-924ER
N69810,BOEING,737-924ER
N69813,BOEING,737-924ER
N69816,BOEING,737-924ER
N69818,BOEING,737-924ER
N69819,BOEING,737-924ER
N69824,BOEING,737-924ER
N69826,BOEING,737-924ER
N69829,BOEING,737-924ER
N69830,BOEING,737-924ER
N69833,BOEING,737-924ER
N69835,BOEING,737-924ER
N69838,BOEING,737-924ER
N69839,BOEING,737-924ER
N69840,BOEING,737-924ER
N69847,BOEING,737-924ER
N69885,BOEING,737-924ER
N69888,BOEING,737-924ER
N700AA,JENSEN JAY A,TURBO COURIER
N700GS,BOEING,737-7H4
N700UW,AIRBUS INDUSTRIE,A319-112
N701AA,SMITH ROLAND W,ZENITH CH 701
N701GS,BOEING,737-7H4
N701UW,AIRBUS INDUSTRIE,A319-112
N702AA,SOCATA,TBM 700
N702UW,AIRBUS INDUSTRIE,A319-112
N703JB,AIRBUS,A320-232
N703SW,BOEING,737-7H4
N703TW,BOEING,757-2Q8
N703UW,AIRBUS INDUSTRIE,A319-112
N704AA,CESSNA,150M
N704SW,BOEING,737-7H4
N704US,AIRBUS INDUSTRIE,A319-112
N705AA,BOEING,727-200
N705JB,AIRBUS,A320-232
N705SK,BOMBARDIER INC,CL-600-2C10
N705SW,BOEING,737-7H4
N705UW,AIRBUS INDUSTRIE,A319-112
N706JB,AIRBUS,A320-232
N706SW,BOEING,737-7H4
N707EV,BOMBARDIER INC,CL-600-2C10
N707SA,BOEING,737-7H4
N708AA,BOEING,727-223
N708EV,BOMBARDIER INC,CL-600-2C10
N708JB,AIRBUS,A320-232
N708SW,BOEING,737-7H4
N708UW,AIRBUS INDUSTRIE,A319-112
N709AA,GULFSTREAM AEROSPACE,G-V
N709EV,BOMBARDIER INC,CL-600-2C10
N709JB,AIRBUS,A320-232
N709SW,BOEING,737-7H4
N709UW,AIRBUS INDUSTRIE,A319-112
N710EV,BOMBARDIER INC,CL-600-2C10
N710SW,BOEING,737-7H4
N710TW,BOEING,757-2Q8
N710UW,AIRBUS INDUSTRIE,A319-112
N711AA,BEECH,B-60
N711HK,BOEING,737-7H4
N711UW,AIRBUS INDUSTRIE,A319-112
N712EV,BOMBARDIER INC,CL-600-2C10
N712JB,AIRBUS,A320-232
N712SW,BOEING,737-7H4
N712US,AIRBUS INDUSTRIE,A319-112
N713EV,BOMBARDIER INC,CL-600-2C10
N713SW,BOEING,737-7H4
N713UW,AIRBUS INDUSTRIE,A319-112
N714CB,BOEING,737-7H4
N714US,AIRBUS INDUSTRIE,A319-112
N715JB,AIRBUS,A320-232
N715SW,BOEING,737-7H4
N715UW,AIRBUS INDUSTRIE,A319-112
N716EV,BOMBARDIER INC,CL-600-2C10
N716SW,BOEING,737-7H4
N716UW,AIRBUS INDUSTRIE,A319-112
N717EV,BOMBARDIER INC,CL-600-2C10
N717JL,BOEING,717-200
N717SA,BOEING,737-7H4
N717UW,AIRBUS INDUSTRIE,A319-112
N718EV,BOMBARDIER INC,CL-600-2C10
N718SW,BOEING,737-7H4
N718TW,BOEING,757-231
N719EV,BOMBARDIER INC,CL-600-2C10
N719SW,BOEING,737-7H4
N720EV,BOMBARDIER INC,CL-600-2C10
N720WN,BOEING,737-7H4
N721AA,CESSNA,172K
N721UW,AIRBUS INDUSTRIE,A319-112
N722AA,CESSNA,172M
N722EV,BOMBARDIER INC,CL-600-2C10
N722TW,BOEING,757-231
N722US,AIRBUS INDUSTRIE,A319-112
N723EV,BOMBARDIER INC,CL-600-2C10
N723SW,BOEING,737-7H4
N723UW,AIRBUS INDUSTRIE,A319-112
N724AA,RAYTHEON AIRCRAFT COMPANY,B200
N724EV,BOMBARDIER INC,CL-600-2C10
N724SW,BOEING,737-7H4
N724UW,AIRBUS INDUSTRIE,A319-112
N725SW,BOEING,737-7H4
N725UW,AIRBUS INDUSTRIE,A319-112
N726SW,BOEING,737-7H4
N727SW,BOEING,737-7H4
N727TW,BOEING,757-231
N728SW,BOEING,737-7H4
N729JB,AIRBUS,A320-232
N729SW,BOEING,737-7H4
N730EV,BOMBARDIER INC,CL-600-2C10
N730SW,BOEING,737-7H4
N730US,AIRBUS INDUSTRIE,A319-112
N731SA,BOEING,737-7H4
N73251,BOEING,737-824
N73256,BOEING,737-824
N73259,BOEING,737-824
N73270,BOEING,737-824
N73275,BOEING,737-824
N73276,BOEING,737-824
N73278,BOEING,737-824
N73283,BOEING,737-824
N73291,BOEING,737-824
N732AA,RAYTHEON CORPORATE JETS INC,BAE 125-800A
N732SW,BOEING,737-7H4
N732US,AIRBUS INDUSTRIE,A319-112
N733SA,BOEING,737-7H4
N733UW,AIRBUS INDUSTRIE,A319-112
N73445,BOEING,737-924ER
N734SA,BOEING,737-7H4
N735SA,BOEING,737-7H4
N736SA,BOEING,737-7H4
N737AA,CESSNA,172N
N737JW,BOEING,737-7H4
N737US,AIRBUS INDUSTRIE,A319-112
N73860,BOEING,757-33N
N738CB,BOEING,737-7H4
N738EV,BOMBARDIER INC,CL-600-2C10
N738US,AIRBUS INDUSTRIE,A319-112
N739GB,BOEING,737-7H4
N740EV,BOMBARDIER INC,CL-600-2C10
N740SW,BOEING,737-7H4
N740UW,AIRBUS INDUSTRIE,A319-112
N741EV,BOMBARDIER INC,CL-600-2C10
N741SA,BOEING,737-7H4
N741UW,AIRBUS INDUSTRIE,A319-112
N742PS,AIRBUS INDUSTRIE,A319-112
N742SW,BOEING,737-7H4
N743SW,BOEING,737-7H4
N744EV,BOMBARDIER INC,CL-600-2C10
N744P,AIRBUS INDUSTRIE,A319-112
N744SW,BOEING,737-7H4
N745AA,PIPER,PA-32-300
N745SK,BOMBARDIER INC,CL-600-2C10
N745SW,BOEING,737-7H4
N745VJ,AIRBUS INDUSTRIE,A319-112
N746JB,AIRBUS,A320-232
N746SW,BOEING,737-7H4
N746UW,AIRBUS INDUSTRIE,A319-112
N747SA,BOEING,737-7H4
N747UW,AIRBUS INDUSTRIE,A319-112
N74856,BOEING,757-324
N748EV,BOMBARDIER INC,CL-600-2C10
N748SW,BOEING,737-7H4
N748UW,AIRBUS INDUSTRIE,A319-112
N749SW,BOEING,737-7H4
N749US,AIRBUS INDUSTRIE,A319-112
N750AA,RICHARD DOUGLAS KLUGOW,Z750
N750EV,BOMBARDIER INC,CL-600-2C10
N750SA,BOEING,737-7H4
N750UW,AIRBUS INDUSTRIE,A319-112
N751AA,CESSNA,750
N751EV,BOMBARDIER INC,CL-600-2C10
N751SW,BOEING,737-7H4
N751UW,AIRBUS INDUSTRIE,A319-112
N752EV,BOMBARDIER INC,CL-600-2C10
N752SW,BOEING,737-7H4
N752US,AIRBUS INDUSTRIE,A319-112
N753EV,BOMBARDIER INC,CL-600-2C10
N753US,AIRBUS INDUSTRIE,A319-112
N75425,BOEING,737-924ER
N75426,BOEING,737-924ER
N75428,BOEING,737-924ER
N75429,BOEING,737-924ER
N75432,BOEING,737-924ER
N75433,BOEING,737-924ER
N75436,BOEING,737-924ER
N754EV,BOMBARDIER INC,CL-600-2C10
N754SW,BOEING,737-7H4
N754UW,AIRBUS INDUSTRIE,A319-112
N755EV,BOMBARDIER INC,CL-600-2C10
N755SA,BOEING,737-7H4
N755US,AIRBUS INDUSTRIE,A319-112
N756AA,BEECH,35-33
N756SA,BOEING,737-7H4
N756US,AIRBUS INDUSTRIE,A319-112
N757AA,CESSNA,152
N757LV,BOEING,737-7H4
N757UW,AIRBUS INDUSTRIE,A319-112
N75851,BOEING,757-324
N75853,BOEING,757-324
N75854,BOEING,757-324
N75858,BOEING,757-324
N75861,BOEING,757-33N
N758AA,CESSNA,R172K
N758EV,BOMBARDIER INC,CL-600-2C10
N758SW,BOEING,737-7H4
N758US,AIRBUS INDUSTRIE,A319-112
N759EV,BOMBARDIER INC,CL-600-2C10
N759GS,BOEING,737-7H4
N760EV,BOMBARDIER INC,CL-600-2C10
N760JB,AIRBUS,A320-232
N760SW,BOEING,737-7H4
N760US,AIRBUS INDUSTRIE,A319-112
N761ND,BOMBARDIER INC,CL-600-2C10
N761RR,BOEING,737-7H4
N76254,BOEING,737-824
N76265,BOEING,737-824
N76269,BOEING,737-824
N76288,BOEING,737-824
N762AA,BEECH,M35
N762SW,BOEING,737-7H4
N762US,AIRBUS INDUSTRIE,A319-112
N763JB,AIRBUS,A320-232
N763SW,BOEING,737-7H4
N763US,AIRBUS INDUSTRIE,A319-112
N764AA,CESSNA,172M
N764SW,BOEING,737-7H4
N764US,AIRBUS INDUSTRIE,A319-112
N76502,BOEING,737-824
N76503,BOEING,737-824
N76504,BOEING,737-824
N76505,BOEING,737-824
N76508,BOEING,737-824
N76514,BOEING,737-824
N76515,BOEING,737-824
N76516,BOEING,737-824
N76517,BOEING,737-824
N76519,BOEING,737-824
N76522,BOEING,737-824
N76523,BOEING,737-824
N76526,BOEING,737-824
N76528,BOEING,737-824
N76529,BOEING,737-824
N76532,BOEING,737-824
N76533,BOEING,737-824
N765AA,BEECH,35-33
N765SW,BOEING,737-7H4
N765US,AIRBUS INDUSTRIE,A319-112
N766JB,AIRBUS,A320-232
N766SW,BOEING,737-7H4
N766US,AIRBUS INDUSTRIE,A319-112
N767AA,HENDERSON THOMAS F,VANS RV-8
N767SW,BOEING,737-7H4
N767UW,AIRBUS INDUSTRIE,A319-112
N768AA,BOEING,777-223
N768JB,AIRBUS,A320-232
N768SW,BOEING,737-7H4
N768US,AIRBUS INDUSTRIE,A319-112
N769SW,BOEING,737-7H4
N769US,AIRBUS INDUSTRIE,A319-112
N7701B,BOEING,737-76N
N7702A,BOEING,737-7BD
N7703A,BOEING,737-76N
N7704B,BOEING,737-7BD
N7705A,BOEING,737-76N
N7706A,BOEING,737-76N
N7707C,BOEING,737-76N
N7708E,BOEING,737-76N
N7709A,BOEING,737-76N
N770AA,BEECH,A36
N770SA,BOEING,737-7H4
N770UW,AIRBUS INDUSTRIE,A319-112
N7710A,BOEING,737-76N
N7711N,BOEING,737-76N
N7712G,BOEING,737-76N
N7713A,BOEING,737-7BD
N7714B,BOEING,737-76N
N7715E,BOEING,737-7BD
N7716A,BOEING,737-76N
N7717D,BOEING,737-76N
N7718B,BOEING,737-76N
N7719A,BOEING,737-76N
N771SA,BOEING,737-7H4
N7720F,BOEING,737-7BD
N7721E,BOEING,737-7BD
N7722B,BOEING,737-76N
N7723E,BOEING,737-76N
N7724A,BOEING,737-7BD
N77258,BOEING,737-824
N7725A,BOEING,737-76N
N77261,BOEING,737-824
N7726A,BOEING,737-7BD
N7727A,BOEING,737-76N
N7728D,BOEING,737-7BD
N7729A,BOEING,737-76N
N772SW,BOEING,737-7H4
N7730A,BOEING,737-7BD
N7731A,BOEING,737-76N
N7732A,BOEING,737-7BD
N7733B,BOEING,737-76N
N7734H,BOEING,737-7BD
N7735A,BOEING,737-7BD
N7736A,BOEING,737-7BD
N7737E,BOEING,737-7BD
N7738A,BOEING,737-7BD
N7739A,BOEING,737-7BD
N773SA,BOEING,737-7H4
N7740A,BOEING,737-7BD
N7741C,BOEING,737-7BD
N7742B,BOEING,737-7BD
N77430,BOEING,737-924ER
N77431,BOEING,737-924ER
N7743B,BOEING,737-7BD
N7744A,BOEING,737-7BD
N7745A,BOEING,737-7BD
N7746C,BOEING,737-7BD
N7747C,BOEING,737-7BD
N7748A,BOEING,737-7BD
N7749B,BOEING,737-7BD
N774SW,BOEING,737-7H4
N7750A,BOEING,737-7BD
N77510,BOEING,737-824
N77518,BOEING,737-824
N7751A,BOEING,737-7BD
N77520,BOEING,737-824
N77525,BOEING,737-824
N7752B,BOEING,737-7BD
N77530,BOEING,737-824
N77535,BOEING,737-824
N77536,BOEING,737-824
N77537,BOEING,737-800
N77538,BOEING,737-800
N775JB,AIRBUS,A320-232
N775SW,BOEING,737-7H4
N776WN,BOEING,737-7H4
N777QC,BOEING,737-7H4
N77865,BOEING,757-33N
N77867,BOEING,757-33N
N77871,BOEING,757-33N
N778SW,BOEING,737-7H4
N779JB,AIRBUS,A320-232
N779SW,BOEING,737-7H4
N780SW,BOEING,737-7H4
N7811F,BOEING,737-76N
N7812G,BOEING,737-76N
N7813P,BOEING,737-7K9
N7814B,BOEING,737-7K9
N7815L,BOEING,737-76Q
N7816B,BOEING,737-7L9
N7817J,BOEING,737-7L9
N7818L,BOEING,737-76N
N7819A,BOEING,737-7Q8
N781WN,BOEING,737-7H4
N7820L,BOEING,737-79P
N7821L,BOEING,737-7CT
N7822A,BOEING,737-76N
N7823A,BOEING,737-7CT
N7824A,BOEING,737-7BK
N7825A,BOEING,737-7CT
N7826B,BOEING,737-79P
N7827A,BOEING,737-79P
N78285,BOEING,737-824
N7828A,BOEING,737-7CT
N7829B,BOEING,737-7CT
N782SA,BOEING,737-7H4
N7830A,BOEING,737-7L9
N7831B,BOEING,737-7CT
N7832A,BOEING,737-79P
N7833A,BOEING,737-79P
N7834A,BOEING,737-752
N7835A,BOEING,737-752
N7836A,BOEING,737-7L9
N7837A,BOEING,737-752
N7838A,BOEING,737-73V
N7839A,BOEING,737-73V
N783SW,BOEING,737-7H4
N7840A,BOEING,737-73V
N7841A,BOEING,737-7L9
N7842A,BOEING,737-73V
N78438,BOEING,737-924ER
N7843A,BOEING,737-752
N7844A,BOEING,737-752
N7845A,BOEING,737-71B
N7846A,BOEING,737-76N
N7847A,BOEING,737-752
N7848A,BOEING,737-752
N7849A,BOEING,737-71B
N784JB,AIRBUS,A320-232
N784SW,BOEING,737-7H4
N78501,BOEING,737-824
N78506,BOEING,737-824
N78509,BOEING,737-824
N7850B,BOEING,737-7Q8
N78511,BOEING,737-824
N7851A,BOEING,737-7Q8
N78524,BOEING,737-824
N7852A,BOEING,737-71B
N7853B,BOEING,737-7Q8
N7854B,BOEING,737-71B
N7855A,BOEING,737-79P
N7856A,BOEING,737-7Q8
N7857B,BOEING,737-79P
N7858A,BOEING,737-79P
N785SW,BOEING,737-7H4
N786SW,BOEING,737-7H4
N7873A,BOEING,737-7Q8
N7874B,BOEING,737-7Q8
N7875A,BOEING,737-7Q8
N7876A,BOEING,737-7Q8
N7877H,BOEING,737-7Q8
N7878A,BOEING,737-7K9
N7879A,BOEING,737-7K9
N787SA,BOEING,737-7H4
N7880D,BOEING,737-7K5
N7881A,BOEING,737-7CT
N7882B,BOEING,737-76Q
N7883A,BOEING,737-76Q
N7884G,BOEING,737-76N
N7885A,BOEING,737-76N
N78866,BOEING,757-33N
N788SA,BOEING,737-7H4
N789JB,AIRBUS,A320-232
N789SW,BOEING,737-7H4
N790SW,BOEING,737-7H4
N791SW,BOEING,737-7H4
N79279,BOEING,737-824
N792SW,BOEING,737-7H4
N793JB,AIRBUS,A320-232
N793SA,BOEING,737-7H4
N794JB,AIRBUS,A320-232
N794SW,BOEING,737-7H4
N79521,BOEING,737-824
N795SW,BOEING,737-7H4
N796JB,AIRBUS,A320-232
N796SW,BOEING,737-7H4
N797MX,BOEING,737-7H4
N798SW,BOEING,737-7AD
N799SW,BOEING,737-7Q8
N801AA,PIPER,PA-31-350
N801AW,AIRBUS INDUSTRIE,A319-132
N801DZ,BOEING,737-932ER
N801UA,AIRBUS INDUSTRIE,A319-131
N802AA,CESSNA,208B
N802AW,AIRBUS INDUSTRIE,A319-132
N802DN,BOEING,737-932ER
N802UA,AIRBUS INDUSTRIE,A319-131
N803AA,AIR TRACTOR INC,AT-802A
N803AW,AIRBUS INDUSTRIE,A319-132
N803DN,BOEING,737-932ER
N803UA,AIRBUS INDUSTRIE,A319-131
N804AA,AIR TRACTOR INC,AT-802
N804AW,AIRBUS INDUSTRIE,A319-132
N804DN,BOEING,737-932ER
N804JB,AIRBUS,A320-232
N804UA,AIRBUS INDUSTRIE,A319-131
N805AW,AIRBUS INDUSTRIE,A319-132
N805DN,BOEING,737-932ER
N805JB,AIRBUS,A320-232
N805UA,AIRBUS INDUSTRIE,A319-131
N806AA,BOEING,787-8
N806AW,AIRBUS INDUSTRIE,A319-132
N806DN,BOEING,737-932ER
N806JB,AIRBUS,A320-232
N806UA,AIRBUS INDUSTRIE,A319-131
N807AA,BOEING,787-8
N807AW,AIRBUS INDUSTRIE,A319-132
N807DN,BOEING,737-932ER
N807JB,AIRBUS,A320-232
N807UA,AIRBUS INDUSTRIE,A319-131
N808AW,AIRBUS INDUSTRIE,A319-132
N808DN,BOEING,737-932ER
N808UA,AIRBUS INDUSTRIE,A319-131
N809AA,BOEING,787-8
N809AW,AIRBUS INDUSTRIE,A319-132
N809DN,BOEING,737-932ER
N809JB,AIRBUS,A320-232
N809UA,AIRBUS INDUSTRIE,A319-131
N810AW,AIRBUS INDUSTRIE,A319-132
N810DN,BOEING,737-932ER
N810UA,AIRBUS INDUSTRIE,A319-131
N811DZ,BOEING,737-932ER
N811UA,AIRBUS INDUSTRIE,A319-131
N812AA,BOEING,787-8
N812AW,AIRBUS INDUSTRIE,A319-132
N812DN,BOEING,737-932ER
N812UA,AIRBUS INDUSTRIE,A319-131
N813AW,AIRBUS INDUSTRIE,A319-132
N813DN,BOEING,737-932ER
N813UA,AIRBUS INDUSTRIE,A319-131
N81449,BOEING,737-924ER
N814AA,BOEING,787-8
N814AW,AIRBUS INDUSTRIE,A319-132
N814DN,BOEING,737-932ER
N814UA,AIRBUS INDUSTRIE,A319-131
N815AA,BOEING,787-8
N815AW,AIRBUS INDUSTRIE,A319-132
N815DN,BOEING,737-932ER
N815UA,AIRBUS INDUSTRIE,A319-131
N816AA,BOEING,787-8
N816AW,AIRBUS INDUSTRIE,A319-132
N816DN,BOEING,737-932ER
N816UA,AIRBUS INDUSTRIE,A319-131
N817AW,AIRBUS INDUSTRIE,A319-132
N817DN,BOEING,737-932ER
N817UA,AIRBUS INDUSTRIE,A319-131
N818AW,AIRBUS INDUSTRIE,A319-132
N818DA,BOEING,737-932ER
N818UA,AIRBUS INDUSTRIE,A319-131
N819AW,AIRBUS INDUSTRIE,A319-132
N819DN,BOEING,737-932ER
N819UA,AIRBUS INDUSTRIE,A319-131
N820AW,AIRBUS INDUSTRIE,A319-132
N820DN,BOEING,737-932ER
N820UA,AIRBUS INDUSTRIE,A319-131
N821AW,AIRBUS INDUSTRIE,A319-132
N821DN,BOEING,737-932ER
N821JB,AIRBUS,A320-232
N821UA,AIRBUS INDUSTRIE,A319-131
N822AA,DASSAULT/SUD,FAN JET FALCON
N822AW,AIRBUS INDUSTRIE,A319-132
N822DN,BOEING,737-932ER
N822DX,BOEING,757-26D
N822UA,AIRBUS INDUSTRIE,A319-131
N823AW,AIRBUS INDUSTRIE,A319-132
N823DN,BOEING,737-932ER
N823UA,AIRBUS INDUSTRIE,A319-131
N824AA,MOONEY AIRCRAFT CORP.,M20K
N824AW,AIRBUS INDUSTRIE,A319-132
N824DN,BOEING,737-932ER
N824UA,AIRBUS INDUSTRIE,A319-131
N825AA,BOEING,787-9
N825AW,AIRBUS INDUSTRIE,A319-132
N825DN,BOEING,737-932ER
N825UA,AIRBUS INDUSTRIE,A319-131
N826AA,DASSAULT AVIATION,MYSTERE FALCON 20
N826AW,AIRBUS INDUSTRIE,A319-132
N826DN,BOEING,737-932ER
N826UA,AIRBUS INDUSTRIE,A319-131
N827AA,DASSAULT/SUD,FAN JET FALCON
N827AW,AIRBUS INDUSTRIE,A319-132
N827DN,BOEING,737-932ER
N827JB,AIRBUS,A320-232
N827UA,AIRBUS INDUSTRIE,A319-131
N828AA,BOEING,787-9
N828AW,AIRBUS INDUSTRIE,A319-132
N828DN,BOEING,737-932ER
N828UA,AIRBUS INDUSTRIE,A319-131
N829AW,AIRBUS INDUSTRIE,A319-132
N829DN,BOEING,737-932ER
N829UA,AIRBUS INDUSTRIE,A319-131
N8301J,BOEING,737-8H4
N8302F,BOEING,737-8H4
N8303R,BOEING,737-8H4
N8305E,BOEING,737-8H4
N8306H,BOEING,737-8H4
N8307K,BOEING,737-8H4
N8308K,BOEING,737-8H4
N8309C,BOEING,737-8H4
N830AW,AIRBUS INDUSTRIE,A319-132
N830DN,BOEING,737-932ER
N830UA,AIRBUS INDUSTRIE,A319-131
N8310C,BOEING,737-8H4
N8311Q,BOEING,737-8H4
N8312C,BOEING,737-8H4
N8313F,BOEING,737-8H4
N8314L,BOEING,737-8H4
N8315C,BOEING,737-8H4
N8316H,BOEING,737-8H4
N8317M,BOEING,737-8H4
N8318F,BOEING,737-8H4
N8319F,BOEING,737-8H4
N831AA,BOEING,787-9
N831AW,AIRBUS INDUSTRIE,A319-132
N831DN,BOEING,737-932ER
N831UA,AIRBUS INDUSTRIE,A319-131
N8320J,BOEING,737-8H4
