,airline,manufacturer,model
N457WN,737-7H4,BOEING,737-7H4
N458UA,A320-232,AIRBUS INDUSTRIE,A320-232
N458WN,737-7H4,BOEING,737-7H4
N459UA,A320-232,AIRBUS INDUSTRIE,A320-232
N459WN,737-7H4,BOEING,737-7H4
N460UA,A320-232,AIRBUS INDUSTRIE,A320-232
N460WN,737-7H4,BOEING,737-7H4
N461UA,A320-232,AIRBUS INDUSTRIE,A320-232
N461WN,737-7H4,BOEING,737-7H4
N462UA,A320-232,AIRBUS INDUSTRIE,A320-232
N462WN,737-7H4,BOEING,737-7H4
N463UA,A320-232,AIRBUS INDUSTRIE,A320-232
N463WN,737-7H4,BOEING,737-7H4
N464UA,A320-232,AIRBUS INDUSTRIE,A320-232
N464WN,737-7H4,BOEING,737-7H4
N465UA,A320-232,AIRBUS INDUSTRIE,A320-232
N465WN,737-7H4,BOEING,737-7H4
N466UA,A320-232,AIRBUS INDUSTRIE,A320-232
N466WN,737-7H4,BOEING,737-7H4
N467UA,A320-232,AIRBUS INDUSTRIE,A320-232
N467WN,737-7H4,BOEING,737-7H4
N468UA,A320-232,AIRBUS INDUSTRIE,A320-232
N468WN,737-7H4,BOEING,737-7H4
N469UA,A320-232,AIRBUS INDUSTRIE,A320-232
N469WN,737-7H4,BOEING,737-7H4
N470UA,A320-232,AIRBUS INDUSTRIE,A320-232
N470WN,737-7H4,BOEING,737-7H4
N471UA,A320-232,AIRBUS INDUSTRIE,A320-232
N472UA,A320-232,AIRBUS INDUSTRIE,A320-232
N472WN,737-7H4,BOEING,737-7H4
N473UA,A320-232,AIRBUS INDUSTRIE,A320-232
N473WN,737-7H4,BOEING,737-7H4
N47414,737-924ER,BOEING,737-924ER
N474AA,172M,CESSNA,172M
N474UA,A320-232,AIRBUS INDUSTRIE,A320-232
N474WN,737-7H4,BOEING,737-7H4
N475UA,A320-232,AIRBUS INDUSTRIE,A320-232
N475WN,737-7H4,BOEING,737-7H4
N476UA,A320-232,AIRBUS INDUSTRIE,A320-232
N476WN,737-7H4,BOEING,737-7H4
N477UA,A320-232,AIRBUS INDUSTRIE,A320-232
N477WN,737-7H4,BOEING,737-7H4
N478UA,A320-232,AIRBUS INDUSTRIE,A320-232
N478WN,737-7H4,BOEING,737-7H4
N479UA,A320-232,AIRBUS INDUSTRIE,A320-232
N479WN,737-7H4,BOEING,737-7H4
N480UA,A320-232,AIRBUS INDUSTRIE,A320-232
N480WN,737-7H4,BOEING,737-7H4
N481UA,A320-232,AIRBUS INDUSTRIE,A320-232
N481WN,737-7H4,BOEING,737-7H4
N482UA,A320-232,AIRBUS INDUSTRIE,A320-232
N482WN,737-7H4,BOEING,737-7H4
N483UA,A320-232,AIRBUS INDUSTRIE,A320-232
N483WN,737-7H4,BOEING,737-7H4
N484UA,A320-232,AIRBUS INDUSTRIE,A320-232
N484WN,737-7H4,BOEING,737-7H4
N485UA,A320-232,AIRBUS INDUSTRIE,A320-232
N485WN,737-7H4,BOEING,737-7H4
N486UA,A320-232,AIRBUS INDUSTRIE,A320-232
N486WN,737-7H4,BOEING,737-7H4
N487UA,A320-232,AIRBUS INDUSTRIE,A320-232
N487WN,737-7H4,BOEING,737-7H4
N488UA,A320-232,AIRBUS INDUSTRIE,A320-232
N488WN,737-7H4,BOEING,737-7H4
N48901,EMB-145LR,EMBRAER,EMB-145LR
N489UA,A320-232,AIRBUS,A320-232
N489WN,737-7H4,BOEING,737-7H4
N490UA,A320-232,AIRBUS,A320-232
N490WN,737-7H4,BOEING,737-7H4
N491UA,A320-232,AIRBUS,A320-232
N491WN,737-7H4,BOEING,737-7H4
N492UA,A320-232,AIRBUS,A320-232
N492WN,737-7H4,BOEING,737-7H4
N493UA,A320-232,AIRBUS,A320-232
N493WN,737-7H4,BOEING,737-7H4
N494UA,A320-232,AIRBUS,A320-232
N494WN,737-7H4,BOEING,737-7H4
N495UA,A320-232,AIRBUS,A320-232
N495WN,737-7H4,BOEING,737-7H4
N496UA,A320-232,AIRBUS,A320-232
N496WN,737-7H4,BOEING,737-7H4
N497UA,A320-232,AIRBUS,A320-232
N497WN,737-7H4,BOEING,737-7H4
N498UA,A320-232,AIRBUS,A320-232
N498WN,737-7H4,BOEING,737-7H4
N499WN,737-7H4,BOEING,737-7H4
N500WR,737-8H4,BOEING,737-8H4
N502NK,A319-132,AIRBUS,A319-132
N503JB,A320-232,AIRBUS INDUSTRIE,A320-232
N503NK,A319-132,AIRBUS,A319-132
N504JB,A320-232,AIRBUS INDUSTRIE,A320-232
N504NK,A319-132,AIRBUS,A319-132
N505JB,A320-232,AIRBUS INDUSTRIE,A320-232
N505NK,A319-132,AIRBUS,A319-132
N506JB,A320-232,AIRBUS INDUSTRIE,A320-232
N506NK,A319-132,AIRBUS,A319-132
N507AA,FALCON-XP,WOBIG WAYNE R,FALCON-XP
N507AY,A321-231,AIRBUS,A321-231
N507NK,A319-132,AIRBUS,A319-132
N508AA,206B,BELL,206B
N508AY,A321-231,AIRBUS,A321-231
N508JB,SR22,CIRRUS DESIGN CORP,SR22
N508NK,A319-132,AIRBUS,A319-132
N509AY,A321-231,AIRBUS,A321-231
N509JB,A320-232,AIRBUS INDUSTRIE,A320-232
N509NK,A319-132,AIRBUS,A319-132
N510AA,210N,CESSNA,210N
N510JB,A320-232,AIRBUS INDUSTRIE,A320-232
N510NK,A319-132,AIRBUS,A319-132
N510UW,A321-231,AIRBUS,A321-231
N512NK,A319-132,AIRBUS,A319-132
N514NK,A319-132,AIRBUS,A319-132
N515NK,A319-132,AIRBUS,A319-132
N516JB,A320-232,AIRBUS INDUSTRIE,A320-232
N516NK,A319-132,AIRBUS,A319-132
N517JB,A320-232,AIRBUS INDUSTRIE,A320-232
N517NK,A319-132,AIRBUS,A319-132
N519JB,A320-232,AIRBUS INDUSTRIE,A320-232
N519NK,A319-132,AIRBUS,A319-132
N519UW,A321-231,AIRBUS,A321-231
N520JB,A320-232,AIRBUS INDUSTRIE,A320-232
N521JB,A320-232,AIRBUS INDUSTRIE,A320-232
N521NK,A319-132,AIRBUS,A319-132
N521UW,A321-231,AIRBUS,A321-231
N521VA,A319-112,AIRBUS,A319-112
N522NK,A319-132,AIRBUS,A319-132
N522VA,A319-112,AIRBUS,A319-112
N523JB,A320-232,AIRBUS INDUSTRIE,A320-232
N523NK,A319-132,AIRBUS,A319-132
N523UW,A321-231,AIRBUS,A321-231
N523VA,A319-112,AIRBUS,A319-112
N524JB,A320-232,AIRBUS INDUSTRIE,A320-232
N524NK,A319-132,AIRBUS,A319-132
N524UW,A321-231,AIRBUS,A321-231
N524VA,A319-112,AIRBUS,A319-112
N525NK,A319-132,AIRBUS,A319-132
N525VA,A319-112,AIRBUS,A319-112
N526NK,A319-132,AIRBUS,A319-132
N526VA,A319-112,AIRBUS,A319-112
N527NK,A319-132,AIRBUS,A319-132
N527VA,A319-112,AIRBUS,A319-112
N528NK,A319-132,AIRBUS,A319-132
N528VA,A319-112,AIRBUS,A319-112
N529JB,A320-232,AIRBUS INDUSTRIE,A320-232
N529NK,A319-132,AIRBUS,A319-132
N529VA,A319-112,AIRBUS,A319-112
N530NK,A319-132,AIRBUS,A319-132
N530VA,A319-112,AIRBUS,A319-112
N531JB,CL-600-2B16,BOMBARDIER INC,CL-600-2B16
N531NK,A319-132,AIRBUS,A319-132
N532NK,A319-132,AIRBUS,A319-132
N533NK,A319-132,AIRBUS,A319-132
N53441,737-924ER,BOEING,737-924ER
N53442,737-924ER,BOEING,737-924ER
N534JB,A320-232,AIRBUS INDUSTRIE,A320-232
N534NK,A319-132,AIRBUS,A319-132
N534UW,A321-231,AIRBUS,A321-231
N535JB,A320-232,AIRBUS INDUSTRIE,A320-232
N535UW,A321-231,AIRBUS,A321-231
N536AA,FALCON XP,AMERICAN AIRCRAFT INC,FALCON XP
N536JB,A320-232,AIRBUS,A320-232
N536UW,A321-231,AIRBUS,A321-231
N537JB,R66,ROBINSON HELICOPTER CO,R66
N537UW,A321-231,AIRBUS,A321-231
N538UW,A321-231,AIRBUS,A321-231
N539UW,A321-231,AIRBUS,A321-231
N540UW,A321-231,AIRBUS,A321-231
N54241,737-824,BOEING,737-824
N542UW,A321-231,AIRBUS,A321-231
N543UW,A321-231,AIRBUS,A321-231
N544AA,VANS AIRCRAFT RV6,FRIEDEMANN JON,VANS AIRCRAFT RV6
N544UW,A321-231,AIRBUS,A321-231
N545AA,PA-32R-300,PIPER,PA-32R-300
N545UW,A321-231,AIRBUS,A321-231
N546UW,A321-231,AIRBUS,A321-231
N54711,737-724,BOEING,737-724
N547JB,A320-232,AIRBUS,A320-232
N548US,757-251,BOEING,757-251
N549UW,A321-231,AIRBUS,A321-231
N550WN,737-76Q,BOEING,737-76Q
N551AA,FALCON XP,LEBLANC GLENN T,FALCON XP
N551UW,A321-231,AIRBUS,A321-231
N551WN,737-76Q,BOEING,737-76Q
N552AA,DC-9-82(MD-82),MCDONNELL DOUGLAS,DC-9-82(MD-82)
N552JB,A320-232,AIRBUS,A320-232
N552NW,757-251,BOEING,757-251
N552UW,A321-231,AIRBUS,A321-231
N552WN,737-7BX,BOEING,737-7BX
N553AA,DC-9-82(MD-82),MCDONNELL DOUGLAS,DC-9-82(MD-82)
N553UW,A321-231,AIRBUS,A321-231
N553WN,737-7BX,BOEING,737-7BX
N554AA,DC-9-82(MD-82),MCDONNELL DOUGLAS,DC-9-82(MD-82)
N554JB,A320-232,AIRBUS,A320-232
N554UW,A321-231,AIRBUS,A321-231
N554WN,737-7BX,BOEING,737-7BX
N555LV,737-7BD,BOEING,737-7BD
N556AA,DC-9-82(MD-82),MCDONNELL DOUGLAS,DC-9-82(MD-82)
N556JB,A320-232,AIRBUS,A320-232
N556UW,A321-231,AIRBUS,A321-231
N556WN,737-7BD,BOEING,737-7BD
N557AA,KITFOX IV,MARZ BARRY,KITFOX IV
N557UW,A321-231,AIRBUS,A321-231
N557WN,737-790,BOEING,737-790
N558AA,DC-9-82(MD-82),MCDONNELL DOUGLAS,DC-9-82(MD-82)
N558JB,A320-232,AIRBUS,A320-232
N558UW,A321-231,AIRBUS,A321-231
N558WN,737-73V,BOEING,737-73V
N559AA,DC-9-82(MD-82),MCDONNELL DOUGLAS,DC-9-82(MD-82)
N559JB,A320-232,AIRBUS,A320-232
N559UW,A321-231,AIRBUS,A321-231
N559WN,737-73V,BOEING,737-73V
N560AA,DC-9-82(MD-82),MCDONNELL DOUGLAS,DC-9-82(MD-82)
N560UW,A321-231,AIRBUS,A321-231
N560WN,737-790,BOEING,737-790
N561AA,DC-9-82(MD-82),MCDONNELL DOUGLAS,DC-9-82(MD-82)
N561JB,A320-232,AIRBUS,A320-232
N561UW,A321-231,AIRBUS,A321-231
N561WN,737-73V,BOEING,737-73V
N562AA,Q500 TYPHOON,YUNEEC INTERNATIONAL CO LTD,Q500 TYPHOON
N562JB,A320-232,AIRBUS,A320-232
N562UW,A321-231,AIRBUS,A321-231
N562WN,737-790,BOEING,737-790
N563JB,A320-232,AIRBUS,A320-232
N563UW,A321-231,AIRBUS,A321-231
N563WN,737-752,BOEING,737-752
N564JB,A320-232,AIRBUS,A320-232
N564WN,737-73V,BOEING,737-73V
N565JB,A320-232,AIRBUS,A320-232
N565WN,737-76Q,BOEING,737-76Q
N566JB,A320-232,AIRBUS,A320-232
N566WN,737-7CT,BOEING,737-7CT
N567UW,A321-231,AIRBUS,A321-231
N567WN,737-7CT,BOEING,737-7CT
N56859,757-324,BOEING,757-324
N568AA,DC-9-83(MD-83),MCDONNELL DOUGLAS,DC-9-83(MD-83)
N568JB,A320-232,AIRBUS,A320-232
N568UW,A321-231,AIRBUS,A321-231
N568WN,737-76N,BOEING,737-76N
N569JB,A320-232,AIRBUS,A320-232
N569WN,737-7CT,BOEING,737-7CT
N570JB,A320-232,AIRBUS,A320-232
N570WN,737-7CT,BOEING,737-7CT
N571JB,A320-232,AIRBUS,A320-232
N572UW,A321-231,AIRBUS INDUSTRIE,A321-231
N573AA,DC-9-82(MD-82),MCDONNELL DOUGLAS,DC-9-82(MD-82)
N573UW,A321-231,AIRBUS INDUSTRIE,A321-231
N57439,737-924ER,BOEING,737-924ER
N575AA,210-5(205),CESSNA,210-5(205)
N575UW,A321-231,AIRBUS INDUSTRIE,A321-231
N576AA,DC-9-82(MD-82),MCDONNELL DOUGLAS,DC-9-82(MD-82)
N576UW,A321-231,AIRBUS INDUSTRIE,A321-231
N57852,757-324,BOEING,757-324
N57855,757-324,BOEING,757-324
N57857,757-324,BOEING,757-324
N57862,757-33N,BOEING,757-33N
N57863,757-33N,BOEING,757-33N
N57864,757-33N,BOEING,757-33N
N57868,757-33N,BOEING,757-33N
N57869,757-33N,BOEING,757-33N
N57870,757-33N,BOEING,757-33N
N578AA,DC-9-82(MD-82),MCDONNELL DOUGLAS,DC-9-82(MD-82)
N578UW,A321-231,AIRBUS INDUSTRIE,A321-231
N579JB,A320-232,AIRBUS,A320-232
N579UW,A321-231,AIRBUS INDUSTRIE,A321-231
N580JB,A320-232,AIRBUS,A320-232
N580UW,A321-231,AIRBUS,A321-231
N581AA,DC-9-82(MD-82),MCDONNELL DOUGLAS,DC-9-82(MD-82)
N581UW,A321-231,AIRBUS INDUSTRIE,A321-231
N582AA,DC-9-82(MD-82),MCDONNELL DOUGLAS,DC-9-82(MD-82)
N582CA,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N582UW,A321-231,AIRBUS INDUSTRIE,A321-231
N583AA,DC-9-82(MD-82),MCDONNELL DOUGLAS,DC-9-82(MD-82)
N583JB,A320-232,AIRBUS,A320-232
N583UW,A321-231,AIRBUS INDUSTRIE,A321-231
N584JB,A320-232,AIRBUS,A320-232
N584UW,A321-231,AIRBUS INDUSTRIE,A321-231
N585AA,DC-9-82(MD-82),MCDONNELL DOUGLAS,DC-9-82(MD-82)
N585JB,A320-232,AIRBUS,A320-232
N585UW,A321-231,AIRBUS INDUSTRIE,A321-231
N586AA,DC-9-82(MD-82),MCDONNELL DOUGLAS,DC-9-82(MD-82)
N586JB,A320-232,AIRBUS,A320-232
N586UW,A321-231,AIRBUS,A321-231
N587AA,DC-9-82(MD-82),MCDONNELL DOUGLAS,DC-9-82(MD-82)
N587JB,A320-232,AIRBUS,A320-232
N587UW,A321-231,AIRBUS,A321-231
N588JB,A320-232,AIRBUS,A320-232
N588NK,A321-231,AIRBUS,A321-231
N589JB,A320-232,AIRBUS,A320-232
N590AA,DC-9-83(MD-83),MCDONNELL DOUGLAS,DC-9-83(MD-83)
N590JB,A320-232,AIRBUS,A320-232
N591JB,A320-232,AIRBUS,A320-232
N592JB,A320-232,AIRBUS,A320-232
N593JB,A320-232,AIRBUS,A320-232
N594JB,A320-232,AIRBUS,A320-232
N595JB,A320-232,AIRBUS,A320-232
N597JB,A320-232,AIRBUS,A320-232
N598JB,A320-232,AIRBUS,A320-232
N599JB,A320-232,AIRBUS,A320-232
N600QX,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N600WN,737-3H4,BOEING,737-3H4
N601AW,A320-232,AIRBUS,A320-232
N601NK,A320-232,AIRBUS,A320-232
N601WN,737-3H4,BOEING,737-3H4
N602NK,A320-232,AIRBUS,A320-232
N602SW,737-3H4,BOEING,737-3H4
N603AT,717-200,BOEING,717-200
N603JB,A320-232,AIRBUS,A320-232
N603NK,A320-232,AIRBUS,A320-232
N603SW,737-3H4,BOEING,737-3H4
N604AA,757-223,BOEING,757-223
N604AW,A320-232,AIRBUS INDUSTRIE,A320-232
N604NK,A320-232,AIRBUS,A320-232
N604QX,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N604SW,737-3H4,BOEING,737-3H4
N605JB,A320-232,AIRBUS,A320-232
N605NK,A320-232,AIRBUS,A320-232
N605QX,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N606JB,A320-232,AIRBUS,A320-232
N606LR,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N606NK,A320-232,AIRBUS,A320-232
N606SW,737-3H4,BOEING,737-3H4
N607AT,717-200,BOEING,717-200
N607JB,A320-232,AIRBUS,A320-232
N607LR,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N607NK,A320-232,AIRBUS INDUSTRIE,A320-232
N607SW,737-3H4,BOEING,737-3H4
N608AT,717-200,BOEING,717-200
N608JB,A320-232,AIRBUS,A320-232
N608NK,A320-232,AIRBUS,A320-232
N608QX,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N608SW,737-3H4,BOEING,737-3H4
N609NK,A320-232,AIRBUS,A320-232
N609SW,737-3H4,BOEING,737-3H4
N610WN,737-3H4,BOEING,737-3H4
N611NK,A320-232,AIRBUS,A320-232
N611QX,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N611SW,737-3H4,BOEING,737-3H4
N612JB,A320-232,AIRBUS,A320-232
N612NK,A320-232,AIRBUS,A320-232
N612QX,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N612SW,737-3H4,BOEING,737-3H4
N613JB,A320-232,AIRBUS,A320-232
N613NK,A320-232,AIRBUS,A320-232
N613SW,737-3H4,BOEING,737-3H4
N614NK,A320-232,AIRBUS,A320-232
N614QX,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N614SW,737-3H4,BOEING,737-3H4
N615JB,A320-232,AIRBUS,A320-232
N615NK,A320-232,AIRBUS,A320-232
N615QX,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N615SW,737-3H4,BOEING,737-3H4
N616NK,A320-232,AIRBUS,A320-232
N616SW,737-3H4,BOEING,737-3H4
N617NK,A320-232,AIRBUS,A320-232
N61881,737-924ER,BOEING,737-924ER
N61882,737-924ER,BOEING,737-924ER
N61886,737-924ER,BOEING,737-924ER
N61887,737-924ER,BOEING,737-924ER
N61898,737-900ER,BOEING,737-900ER
N618JB,A320-232,AIRBUS,A320-232
N618NK,A320-232,AIRBUS,A320-232
N618WN,737-3H4,BOEING,737-3H4
N619NK,A320-232,AIRBUS,A320-232
N619SW,737-3H4,BOEING,737-3H4
N620NK,A320-232,AIRBUS,A320-232
N620SW,737-3H4,BOEING,737-3H4
N621JB,A320-232,AIRBUS,A320-232
N621NK,A320-232,AIRBUS,A320-232
N621SW,737-3H4,BOEING,737-3H4
N622NK,A320-232,AIRBUS,A320-232
N622SW,737-3H4,BOEING,737-3H4
N622VA,A320-214,AIRBUS,A320-214
N623JB,A320-232,AIRBUS,A320-232
N623NK,A320-232,AIRBUS,A320-232
N623SW,737-3H4,BOEING,737-3H4
N623VA,A320-214,AIRBUS,A320-214
N624JB,A320-232,AIRBUS,A320-232
N624NK,A320-232,AIRBUS,A320-232
N624SW,737-3H4,BOEING,737-3H4
N625JB,A320-232,AIRBUS,A320-232
N625NK,A320-232,AIRBUS,A320-232
N625SW,737-3H4,BOEING,737-3H4
N626NK,A320-232,AIRBUS,A320-232
N626SW,737-3H4,BOEING,737-3H4
N626VA,A320-214,AIRBUS,A320-214
N627DL,757-232,BOEING,757-232
N627JB,A320-232,AIRBUS,A320-232
N627NK,A320-232,AIRBUS,A320-232
N627SW,737-3H4,BOEING,737-3H4
N62849,737-924ER,BOEING,737-924ER
N62883,737-924ER,BOEING,737-924ER
N62884,737-924ER,BOEING,737-924ER
N62889,737-924ER,BOEING,737-924ER
N62892,737-924ER,BOEING,737-924ER
N62894,737-924ER,BOEING,737-924ER
N62895,737-900ER,BOEING,737-900ER
N62896,737-900ER,BOEING,737-900ER
N628NK,A320-232,AIRBUS,A320-232
N628SW,737-3H4,BOEING,737-3H4
N628VA,A320-214,AIRBUS,A320-214
N629JB,A320-232,AIRBUS,A320-232
N629NK,A320-232,AIRBUS,A320-232
N629VA,A320-214,AIRBUS,A320-214
N630JB,A320-232,AIRBUS,A320-232
N630NK,A320-232,AIRBUS,A320-232
N630WN,737-3H4,BOEING,737-3H4
N631NK,A320-232,AIRBUS,A320-232
N631SW,737-3H4,BOEING,737-3H4
N632JB,A320-232,AIRBUS,A320-232
N632NK,A320-232,AIRBUS,A320-232
N632SW,737-3H4,BOEING,737-3H4
N633JB,A320-232,AIRBUS,A320-232
N633NK,A320-232,AIRBUS,A320-232
N633SW,737-3H4,BOEING,737-3H4
N633VA,A320-214,AIRBUS,A320-214
N634JB,A320-232,AIRBUS,A320-232
N634NK,A320-232,AIRBUS,A320-232
N634SW,737-3H4,BOEING,737-3H4
N634VA,A320-214,AIRBUS,A320-214
N635JB,A320-232,AIRBUS,A320-232
N635NK,A320-232,AIRBUS,A320-232
N635SW,737-3H4,BOEING,737-3H4
N636JB,A320-232,AIRBUS,A320-232
N636NK,A320-232,AIRBUS,A320-232
N636VA,A320-214,AIRBUS,A320-214
N636WN,737-3H4,BOEING,737-3H4
N637JB,A320-232,AIRBUS,A320-232
N637NK,A320-232,AIRBUS,A320-232
N637SW,737-3H4,BOEING,737-3H4
N63820,737-924ER,BOEING,737-924ER
N63890,737-924ER,BOEING,737-924ER
N63899,737-900ER,BOEING,737-900ER
N638JB,A320-232,AIRBUS,A320-232
N638NK,A320-232,AIRBUS,A320-232
N638SW,737-3H4,BOEING,737-3H4
N639JB,A320-232,AIRBUS,A320-232
N639NK,A320-232,AIRBUS,A320-232
N639SW,737-3H4,BOEING,737-3H4
N640JB,A320-232,AIRBUS,A320-232
N640NK,A320-232,AIRBUS,A320-232
N640SW,737-3H4,BOEING,737-3H4
N640VA,A320-214,AIRBUS,A320-214
N641JB,A320-232,AIRBUS,A320-232
N641NK,A320-232,AIRBUS,A320-232
N641SW,737-3H4,BOEING,737-3H4
N642NK,A320-232,AIRBUS,A320-232
N642VA,A320-214,AIRBUS,A320-214
N642WN,737-3H4,BOEING,737-3H4
N643JB,A320-232,AIRBUS,A320-232
N643NK,A320-232,AIRBUS,A320-232
N643SW,737-3H4,BOEING,737-3H4
N644JB,A320-232,AIRBUS,A320-232
N644NK,A320-232,AIRBUS,A320-232
N644SW,737-3H4,BOEING,737-3H4
N645JB,A320-232,AIRBUS,A320-232
N645NK,A320-232,AIRBUS,A320-232
N645SW,737-3H4,BOEING,737-3H4
N646JB,A320-232,AIRBUS,A320-232
N646NK,A320-232,AIRBUS,A320-232
N646SW,737-3H4,BOEING,737-3H4
N647AA,FALCON-XP,GRAHAM JERRY,FALCON-XP
N647NK,A320-232,AIRBUS,A320-232
N647SW,737-3H4,BOEING,737-3H4
N64809,737-924ER,BOEING,737-924ER
N64844,737-924ER,BOEING,737-924ER
N648JB,A320-232,AIRBUS,A320-232
N648NK,A320-232,AIRBUS,A320-232
N648SW,737-3H4,BOEING,737-3H4
N649AA,757-223,BOEING,757-223
N649AW,A320-232,AIRBUS INDUSTRIE,A320-232
N649JB,A320-232,AIRBUS,A320-232
N649NK,A320-232,AIRBUS,A320-232
N650AW,A320-232,AIRBUS INDUSTRIE,A320-232
N650SW,737-3H4,BOEING,737-3H4
N651JB,A320-232,AIRBUS,A320-232
N651SW,737-3H4,BOEING,737-3H4
N652AA,757-223,BOEING,757-223
N652JB,A320-232,AIRBUS,A320-232
N652SW,737-3H4,BOEING,737-3H4
N653JB,A320-232,AIRBUS,A320-232
N653SW,737-3H4,BOEING,737-3H4
N654AW,A320-232,AIRBUS INDUSTRIE,A320-232
N654SW,737-3H4,BOEING,737-3H4
N655AA,757-223,BOEING,757-223
N655JB,A320-232,AIRBUS,A320-232
N655WN,737-3H4,BOEING,737-3H4
N656AA,757-223,BOEING,757-223
N656JB,A320-232,AIRBUS,A320-232
N656SW,737-3H4,BOEING,737-3H4
N657AW,A320-232,AIRBUS INDUSTRIE,A320-232
N657JB,A320-232,AIRBUS,A320-232
N657NK,A321-231,AIRBUS,A321-231
N65832,737-924ER,BOEING,737-924ER
N658AA,757-223,BOEING,757-223
N658AW,A320-232,AIRBUS INDUSTRIE,A320-232
N658JB,A320-232,AIRBUS,A320-232
N658NK,A321-231,AIRBUS,A321-231
N659AA,757-223,BOEING,757-223
N659AW,A320-232,AIRBUS INDUSTRIE,A320-232
N659JB,A320-232,AIRBUS,A320-232
N659NK,A321-231,AIRBUS,A321-231
N660AW,A320-232,AIRBUS INDUSTRIE,A320-232
N660NK,A321-231,AIRBUS,A321-231
N661AA,AIRCAM,ROBERT D WHITE,AIRCAM
N661AW,A320-232,AIRBUS INDUSTRIE,A320-232
N661DN,757-232,BOEING,757-232
N661JB,A320-232,AIRBUS,A320-232
N661NK,A321-231,AIRBUS,A321-231
N662AA,757-223,BOEING,757-223
N662JB,A320-232,AIRBUS,A320-232
N662NK,A321-231,AIRBUS,A321-231
N663AA,402C,CESSNA,402C
N663JB,A320-232,AIRBUS,A320-232
N663NK,A321-231,AIRBUS,A321-231
N664NK,A321-231,AIRBUS,A321-231
N665AA,757-223,BOEING,757-223
N665AW,A320-232,AIRBUS INDUSTRIE,A320-232
N665JB,A320-232,AIRBUS,A320-232
N665NK,A321-231,AIRBUS,A321-231
N667AW,A320-232,AIRBUS INDUSTRIE,A320-232
N667NK,A321-231,AIRBUS,A321-231
N66803,737-924ER,BOEING,737-924ER
N66808,737-924ER,BOEING,737-924ER
N66814,737-924ER,BOEING,737-924ER
N66825,737-924ER,BOEING,737-924ER
N66828,737-924ER,BOEING,737-924ER
N66831,737-924ER,BOEING,737-924ER
N66837,737-924ER,BOEING,737-924ER
N66841,737-924ER,BOEING,737-924ER
N66848,737-924ER,BOEING,737-924ER
N66893,737-924ER,BOEING,737-924ER
N66897,737-900ER,BOEING,737-900ER
N668AA,757-223,BOEING,757-223
N668AW,A320-232,AIRBUS,A320-232
N668DN,757-232,BOEING,757-232
N668NK,A321-231,AIRBUS,A321-231
N669AA,757-223,BOEING,757-223
N669AW,A320-232,AIRBUS,A320-232
N669DN,757-232,BOEING,757-232
N669NK,A321-231,AIRBUS,A321-231
N6706Q,757-232,BOEING,757-232
N670NK,A321-231,AIRBUS,A321-231
N6710E,757-232,BOEING,757-232
N6711M,757-232,BOEING,757-232
N67171,757-232,BOEING,757-232
N671NK,A321-231,AIRBUS,A321-231
N672AA,757-223,BOEING,757-223
N672NK,A321-231,AIRBUS,A321-231
N673NK,A321-231,AIRBUS,A321-231
N674NK,A321-231,AIRBUS,A321-231
N675DL,757-232,BOEING,757-232
N675NK,A321-231,AIRBUS,A321-231
N676CA,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N676DL,757-232,BOEING,757-232
N676NK,A321-231,AIRBUS,A321-231
N677NK,A321-231,AIRBUS,A321-231
N67812,737-924ER,BOEING,737-924ER
N67815,737-924ER,BOEING,737-924ER
N67827,737-924ER,BOEING,737-924ER
N67845,737-924ER,BOEING,737-924ER
N67846,737-924ER,BOEING,737-924ER
N678CA,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N678DL,757-232,BOEING,757-232
N679AW,A320-232,AIRBUS,A320-232
N680AW,A320-232,AIRBUS,A320-232
N680DA,757-232,BOEING,757-232
N681DA,757-232,BOEING,757-232
N683DA,757-232,BOEING,757-232
N68452,737-924ER,BOEING,737-924ER
N68453,737-924ER,BOEING,737-924ER
N684DA,757-232,BOEING,757-232
N686BR,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N687SW,737-3Q8,BOEING,737-3Q8
N68801,737-924ER,BOEING,737-924ER
N68802,737-924ER,BOEING,737-924ER
N68805,737-924ER,BOEING,737-924ER
N68807,737-924ER,BOEING,737-924ER
N68811,737-924ER,BOEING,737-924ER
N68817,737-924ER,BOEING,737-924ER
N68821,737-924ER,BOEING,737-924ER
N68822,737-924ER,BOEING,737-924ER
N68823,737-924ER,BOEING,737-924ER
N68834,737-924ER,BOEING,737-924ER
N68836,737-924ER,BOEING,737-924ER
N68842,737-924ER,BOEING,737-924ER
N68843,737-924ER,BOEING,737-924ER
N68880,737-924ER,BOEING,737-924ER
N68891,737-924ER,BOEING,737-924ER
